Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Sierra Leone,SLE,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.160264445493032,0.176198956814076,0.190173281668183,0.203007680592588,0.215399995,0.227699995,0.239800006,0.25,0.25999999,0.579999983,0.899999976,2.5,4,6.057300091,6.344399929,7.680099964,9.297100067,14.42230034,15.71370029,17.12080002,18.65390015,21.50880051,23.71360016,25.10499954,..
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,906000000,927000000,748000000,897000000,949000000,1119000000,1373000000,1726000000,1768000000,1998000000,2398000000,2791614000,3177198100,3225652000,3227075700,3398419600,3390703400,3422754800,3319596500,3176126300,3513049500,4001047000,4390000000,4779300900,..
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,300.463828598983,299.536445539621,239.779556677091,284.140223992458,287.487333441381,320.55808618515,374.211308104278,451.713856283285,448.386367025545,492.252808033724,568.087865520004,638.368751462083,710.744570927863,706.714490064507,692.590082351257,714.613063145659,699.269095727404,692.203127129794,658.164180770507,616.787867006715,667.96610514319,744.617175237387,799.194470229642,851.497723870206,..
Liberia,LBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.92027476569781,3.76301761700071,-30.145132727942,2.61984689477413,5.28121245309295,8.04390997190059,9.53527536282282,7.14569112811476,5.30054050291531,6.09982524004147,8.20076822497064,7.99381444555367,8.68728781639683,0.701393100287518,-0.0185649695590939,-1.5549586174878,2.45515592012239,1.15757512207355,-2.46729763532686,-2.98249127649473,4.98671283481617,4.80810517290655,4.68375688761311,4.02185464964835,..
Liberia,LBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,14.1596470116325,10.3302881236823,7.82908704883235,10.8343588481414,7.34144608278558,11.3918966807102,17.489448642993,7.42764305914919,7.28992796890218,8.488167518494,6.83178703418548,7.577306817414,9.86111285574904,7.74869687621322,8.83424868336488,12.4196323907138,23.5635148953742,26.9662760197878,16.9557241496255,7.81559385858648,7.59298486560313,10.0944535665552,8.21497439118964,..
Liberia,LBR,"Population, total",SP.POP.TOTL,3015338,3094782,3119532,3156892,3301015,3490787,3669050,3821003,3943028,4058890,4221178,4373043,4470239,4564293,4659431,4755608,4848925,4944726,5043721,5149463,5259323,5373294,5493031,5612817,..
Liberia,LBR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.1509656015089,44.566701526991,45.0004573003041,45.4344781497244,45.8510093035277,46.2322959899902,46.6104850769043,47.1080497871025,47.6245255922562,48.1407517057907,48.6583302770849,49.1773247639526,49.6977986242077,50.2198153156642,50.7434382961363,51.2687310234384,51.7957569553849,52.3245795497906,52.85526226447,53.3878685572381,53.9224618859098,54.4591057083,54.997863482224,55.5387986654968,..
Liberia,LBR,Population growth (annual %),SP.POP.GROW,2.9352375714594,2.60055374367034,0.79655231018503,1.19050087276777,4.46419976403406,5.58972152870902,4.98055607463838,4.05801806274783,3.14360024630264,2.89605811562763,3.92046987945605,3.53448694358844,2.19827693086756,2.08217532534285,2.06297096669961,2.04312155500225,1.94324776688719,1.95645231379837,1.98225492944197,2.07483340649162,2.11098738475006,2.14388170425267,2.20390696065654,2.15725346515291,..
Liberia,LBR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,61.1,..,..,..,..,..,..,31.7,..,33.6,..,..,..,..,..,..,..,..,..
Liberia,LBR,Gini index,SI.POV.GINI,..,..,..,..,..,..,36.4,..,..,..,..,..,..,33.2,..,35.3,..,..,..,..,..,..,..,..,..
